image_path,Sampling_Date,State,Species,Height_Ave_cm,Pre_GSHH_NDVI,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Season,strat_group,fold,Dry_Clover_g_soft,Dry_Dead_g_soft,Dry_Green_g_soft
train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,4.6667,0.62,0.0,31.9984,16.275,Spring,Spring_Tas_Ryegrass_Clover,2,0.36956924,43.185364,20.15381
train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,16.0,0.55,0.0,0.0,7.6,Autumn,Autumn_NSW_Lucerne,0,0.051065993,0.5456077,7.336673
train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,1.0,0.38,6.05,0.0,0.0,Spring,Spring_WA_SubcloverDalkeith,1,6.852712,0.061617006,0.0
train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,5.0,0.66,0.0,30.9703,24.2376,Autumn,Autumn_Tas_Ryegrass,0,0.5613593,32.825825,19.57612
train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,3.5,0.54,0.4343,23.2239,10.5261,Spring,Spring_Tas_Ryegrass,2,1.1006649,16.536076,8.233045
train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,7.0,0.82,23.0755,2.6135,32.191,Spring,Spring_Vic_Phalaris_Clover,2,14.533946,5.470539,56.0453
train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,2.0,0.72,1.5083,3.0167,13.575,Winter,Winter_Vic_Ryegrass_Clover,0,2.6757357,2.95616,13.329806
train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,1.0,0.8,55.32,0.0,0.0,Spring,Spring_WA_SubcloverLosa,4,60.7725,0.18998656,0.46341014
train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,5.0,0.68,0.0,11.2291,20.1707,Autumn,Autumn_Tas_Ryegrass,4,0.036886565,12.471004,19.92476
train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,4.0,0.86,5.2698,8.5635,27.6667,Winter,Winter_Vic_Phalaris_Clover,3,2.5581038,8.929618,22.818954
train/ID1053972079.jpg,2015/9/4,Tas,Clover,2.5,0.56,21.0801,7.9393,1.3688,Spring,Spring_Tas_Clover,1,17.873188,6.891455,1.404567
train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,2.0,0.62,0.1,9.5,13.1,Autumn,Autumn_Tas_Ryegrass_Clover,0,0.31520987,15.016016,11.137559
train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,9.0,0.82,19.98,3.9623,35.4077,Spring,Spring_Vic_Ryegrass_Clover,0,25.262186,3.4190373,43.153492
train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,6.0,0.6,0.0,9.8765,22.1235,Summer,Summer_NSW_Fescue_CrumbWeed,3,0.018591722,10.624235,23.847397
train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,5.0,0.86,0.0,5.0189,32.9811,Winter,Winter_Vic_Phalaris_Ryegrass_Clover,3,1.2576377,4.3255115,22.971043
train/ID1084819986.jpg,2015/9/4,Tas,Clover,3.1667,0.69,21.4551,13.0742,2.6819,Spring,Spring_Tas_Clover,2,20.154522,13.123285,2.300763
train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,43.0,0.89,0.0,0.3443,59.5557,Autumn,Autumn_NSW_Lucerne,1,0.05119328,0.76553714,73.97003
train/ID1098771283.jpg,2015/11/9,Tas,Clover,2.6667,0.48,8.376,15.1673,0.4528,Spring,Spring_Tas_Clover,0,7.305823,13.205266,0.41068697
train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,26.0,0.48,0.0,12.9166,82.7834,Summer,Summer_NSW_Phalaris,1,0.110837005,11.194796,66.85013
train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,5.5,0.83,5.773,7.2162,40.4108,Winter,Winter_Vic_Phalaris_Ryegrass_Clover,4,10.361735,3.8706017,36.15779
train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,16.0,0.8,0.2931,11.6271,82.6598,Spring,Spring_Vic_Phalaris_Clover,1,0.9575141,9.16268,67.85167
train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,3.0,0.72,20.6523,21.1112,1.3768,Winter,Winter_Tas_WhiteClover,3,21.17758,17.604712,1.0180218
train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,4.0,0.28,0.0,3.0,6.8,Autumn,Autumn_Tas_Ryegrass,1,0.35037285,5.434919,5.1907015
train/ID1119761112.jpg,2015/5/7,NSW,Fescue,4.0,0.42,0.0,32.4486,22.9514,Autumn,Autumn_NSW_Fescue,3,0.00036190072,21.448647,28.40068
train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,38.0,0.52,0.0,1.3958,109.8042,Summer,Summer_NSW_Phalaris,4,0.04851023,2.3002143,109.84412
train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,7.0,0.77,3.0196,25.8824,32.3529,Autumn,Autumn_Tas_Ryegrass,1,0.70271313,25.661316,20.229935
train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,3.0,0.74,11.2,2.8,19.6,Winter,Winter_Vic_Ryegrass_Clover,0,3.773697,2.6147618,18.515196
train/ID1131079710.jpg,2015/11/9,Tas,Clover,1.5,0.57,15.4794,11.119,1.5261,Spring,Spring_Tas_Clover,2,16.339207,8.3815975,0.59860814
train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,5.0,0.62,0.0,6.808,16.3107,Autumn,Autumn_Tas_Ryegrass,4,0.060896285,11.963858,19.0585
train/ID1139866256.jpg,2015/5/7,NSW,Fescue,13.0,0.66,0.0,83.8407,74.0593,Autumn,Autumn_NSW_Fescue,4,0.33313644,37.818386,74.16847
train/ID1139918758.jpg,2015/8/21,WA,Clover,3.0,0.79,58.34,0.0,0.0,Winter,Winter_WA_Clover,2,63.951427,0.11261173,1.5540761
train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,2.0,0.71,4.6,2.3,16.1,Winter,Winter_Vic_Ryegrass_Clover,0,4.58658,3.2496896,18.283585
train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,3.2,0.86,12.4113,0.0,28.0887,Winter,Winter_Vic_Phalaris_Clover,3,6.258043,3.1100478,24.60175
train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,3.5,0.81,4.0923,14.3231,21.4846,Winter,Winter_Vic_Phalaris_Ryegrass_Clover,4,5.1221633,18.483362,16.138613
train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,43.0,0.87,0.0,5.3831,58.3169,Autumn,Autumn_NSW_Lucerne,0,0.031325474,5.2553434,66.812
train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,7.0,0.74,1.3191,6.7982,46.5727,Spring,Spring_Vic_Phalaris_Clover,3,2.0110502,11.634176,47.573593
train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,2.0,0.5,5.2,6.7,1.2,Winter,Winter_Tas_WhiteClover,4,5.171294,5.61825,0.8537738
train/ID1168534540.jpg,2015/5/7,NSW,Fescue,9.0,0.86,0.0,8.6892,55.6108,Autumn,Autumn_NSW_Fescue,1,0.1625616,8.429641,75.94481
train/ID1176292407.jpg,2015/6/26,Tas,Ryegrass_Clover,3.0,0.5,0.1308,16.7365,9.022,Winter,Winter_Tas_Ryegrass_Clover,3,0.3607337,21.04317,10.144948
train/ID1182523622.jpg,2015/6/29,Tas,WhiteClover,2.0,0.48,3.1059,14.7193,0.6752,Winter,Winter_Tas_WhiteClover,4,3.6871476,15.557772,1.3139436
train/ID1183807388.jpg,2015/7/1,Tas,Ryegrass,5.0,0.7,0.0,20.9156,20.9156,Winter,Winter_Tas_Ryegrass,2,0.15532155,17.728474,23.977299
